Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
supabase,supabase,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",https://github.com/supabase/supabase,TypeScript,2019-10-12 05:56:49+00:00,2024-10-08 11:49:22+00:00,72388,6954,501,Apache License 2.0
funNLP,fighting41love,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具",https://github.com/fighting41love/funNLP,Python,2018-08-21 11:20:39+00:00,2024-10-08 11:50:03+00:00,68110,14442,28,No license
generative-ai-for-beginners,microsoft,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",https://github.com/microsoft/generative-ai-for-beginners,Jupyter Notebook,2023-06-19 16:28:59+00:00,2024-10-08 11:49:49+00:00,62860,32172,11,MIT License
AppFlowy,AppFlowy-IO,"Bring projects, wikis, and teams together with AI. AppFlowy is an AI collaborative workspace where you achieve more without losing control of your data. The best open source alternative to Notion.",https://github.com/AppFlowy-IO/AppFlowy,Dart,2021-06-16 12:56:48+00:00,2024-10-08 11:40:35+00:00,56648,3696,846,GNU Affero General Public License v3.0
ChatGPT,lencx,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",https://github.com/lencx/ChatGPT,Rust,2022-12-07 09:43:02+00:00,2024-10-08 10:54:03+00:00,52510,5898,737,No license
gpt-engineer,gpt-engineer-org,Platform to experiment with the AI Software Engineer. Terminal based. NOTE: Very different from https://gptengineer.app,https://github.com/gpt-engineer-org/gpt-engineer,Python,2023-04-29 12:52:15+00:00,2024-10-08 07:29:17+00:00,52137,6791,19,MIT License
dify,langgenius,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",https://github.com/langgenius/dify,TypeScript,2023-04-12 07:40:24+00:00,2024-10-08 11:46:40+00:00,47299,6734,320,Other
MetaGPT,geekan,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",https://github.com/geekan/MetaGPT,Python,2023-06-30 09:04:55+00:00,2024-10-08 11:52:24+00:00,44098,5245,360,MIT License
lobe-chat,lobehub,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Azure /  DeepSeek), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT/ Claude application.",https://github.com/lobehub/lobe-chat,TypeScript,2023-05-21 07:19:12+00:00,2024-10-08 11:40:25+00:00,42206,9531,420,Other
open-webui,open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://github.com/open-webui/open-webui,Svelte,2023-10-06 22:08:27+00:00,2024-10-08 11:50:58+00:00,41839,4938,134,MIT License
ailearning,apachecn,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,https://github.com/apachecn/ailearning,Python,2017-02-25 08:53:02+00:00,2024-10-08 10:45:12+00:00,39234,11419,4,Other
kong,Kong,🦍 The Cloud-Native API Gateway and AI Gateway.,https://github.com/Kong/kong,Lua,2014-11-17 23:56:08+00:00,2024-10-08 11:46:16+00:00,39006,4784,134,Apache License 2.0
ColossalAI,hpcaitech,"Making large AI models cheaper, faster and more accessible",https://github.com/hpcaitech/ColossalAI,Python,2021-10-28 16:19:44+00:00,2024-10-08 07:22:46+00:00,38699,4338,433,Apache License 2.0
Deep-Live-Cam,hacksider,real time face swap and one-click video deepfake with only a single image,https://github.com/hacksider/Deep-Live-Cam,Python,2023-09-24 13:19:31+00:00,2024-10-08 11:37:46+00:00,37823,5403,260,GNU Affero General Public License v3.0
ClickHouse,ClickHouse,ClickHouse® is a real-time analytics DBMS,https://github.com/ClickHouse/ClickHouse,C++,2016-06-02 08:28:18+00:00,2024-10-08 10:27:40+00:00,37027,6832,3838,Apache License 2.0
tidb,pingcap,"TiDB is an open-source, cloud-native, distributed, MySQL-Compatible database for elastic scale and real-time analytics. Try AI-powered Chat2Query free at : https://www.pingcap.com/tidb-serverless/",https://github.com/pingcap/tidb,Go,2015-09-06 04:01:52+00:00,2024-10-08 11:33:29+00:00,37015,5822,4547,Apache License 2.0
Open-Assistant,LAION-AI,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",https://github.com/LAION-AI/Open-Assistant,Python,2022-12-13 05:24:17+00:00,2024-10-08 11:46:17+00:00,36996,3226,290,Apache License 2.0
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,Python,2015-04-13 18:04:58+00:00,2024-10-08 11:44:30+00:00,36594,14168,1193,Apache License 2.0
quivr,QuivrHQ,"Open-source RAG Framework for building GenAI Second Brains 🧠  Build productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Efficient retrieval augmented generation framework",https://github.com/QuivrHQ/quivr,Python,2023-05-12 23:53:30+00:00,2024-10-08 10:58:25+00:00,36211,3519,138,Other
MockingBird,babysor,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/babysor/MockingBird,Python,2021-08-07 03:53:39+00:00,2024-10-08 09:41:06+00:00,35049,5195,469,Other
photoprism,photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,https://github.com/photoprism/photoprism,Go,2018-01-27 12:00:15+00:00,2024-10-08 09:29:27+00:00,34944,1916,469,Other
AI-For-Beginners,microsoft,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,Jupyter Notebook,2021-03-03 16:27:36+00:00,2024-10-08 10:17:39+00:00,34353,5743,57,MIT License
google-research,google-research,Google Research,https://github.com/google-research/google-research,Jupyter Notebook,2018-10-04 18:42:48+00:00,2024-10-08 11:46:19+00:00,34006,7856,1478,Apache License 2.0
gold-miner,xitu,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,https://github.com/xitu/gold-miner,,2015-11-04 03:29:13+00:00,2024-10-08 11:01:43+00:00,33705,5024,7,No license
WeChatMsg,LC044,提取微信聊天记录，将其导出成HTML、Word、Excel文档永久保存，对聊天记录进行分析生成年度聊天报告，用聊天数据训练专属于个人的AI聊天助手,https://github.com/LC044/WeChatMsg,Python,2023-01-11 05:03:49+00:00,2024-10-08 11:48:41+00:00,33678,3528,62,GNU General Public License v3.0
ray,ray-project,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,https://github.com/ray-project/ray,Python,2016-10-25 19:38:30+00:00,2024-10-08 10:58:33+00:00,33336,5638,4066,Apache License 2.0
GitHubDaily,GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",https://github.com/GitHubDaily/GitHubDaily,,2018-12-30 13:56:58+00:00,2024-10-08 10:38:55+00:00,32122,3534,279,No license
LLaMA-Factory,hiyouga,Unified Efficient Fine-Tuning of 100+ LLMs (ACL 2024),https://github.com/hiyouga/LLaMA-Factory,Python,2023-05-28 10:09:12+00:00,2024-10-08 11:11:17+00:00,31995,3924,198,Apache License 2.0
awesome-scalability,binhnguyennus,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",https://github.com/binhnguyennus/awesome-scalability,,2017-12-27 03:46:40+00:00,2024-10-08 10:09:18+00:00,58472,6020,18,MIT License
big-list-of-naughty-strings,minimaxir,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://github.com/minimaxir/big-list-of-naughty-strings,Python,2015-08-08 20:57:20+00:00,2024-10-08 08:16:56+00:00,46158,2127,104,MIT License
spark,apache,Apache Spark - A unified analytics engine for large-scale data processing,https://github.com/apache/spark,Scala,2014-02-25 08:00:08+00:00,2024-10-08 09:25:47+00:00,39434,28225,220,Apache License 2.0
ClickHouse,ClickHouse,ClickHouse® is a real-time analytics DBMS,https://github.com/ClickHouse/ClickHouse,C++,2016-06-02 08:28:18+00:00,2024-10-08 10:27:40+00:00,37027,6832,3838,Apache License 2.0
data-science-ipython-notebooks,donnemartin,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",https://github.com/donnemartin/data-science-ipython-notebooks,Python,2015-01-23 19:38:29+00:00,2024-10-08 11:46:16+00:00,27257,7849,39,Other
flink,apache,Apache Flink,https://github.com/apache/flink,Java,2014-06-07 07:00:10+00:00,2024-10-08 10:15:27+00:00,23897,13275,1215,Apache License 2.0
gun,amark,An open source cybersecurity protocol for syncing decentralized graph data.,https://github.com/amark/gun,JavaScript,2014-07-31 15:52:10+00:00,2024-10-07 20:05:07+00:00,18084,1164,310,Other
presto,prestodb,The official home of the Presto distributed SQL query engine for big data,https://github.com/prestodb/presto,Java,2012-08-09 01:03:37+00:00,2024-10-08 07:17:28+00:00,15974,5354,2151,Apache License 2.0
BigData-Notes,heibaiying,大数据入门指南  :star:,https://github.com/heibaiying/BigData-Notes,Java,2019-03-10 01:40:01+00:00,2024-10-08 09:27:46+00:00,15806,4230,39,No license
questdb,questdb,QuestDB is an open source time-series database for fast ingest and SQL queries,https://github.com/questdb/questdb,Java,2014-04-28 23:29:15+00:00,2024-10-08 11:31:50+00:00,14414,1163,599,Apache License 2.0
Cookbook,andkret,The Data Engineering Cookbook,https://github.com/andkret/Cookbook,,2019-03-10 22:20:03+00:00,2024-10-08 08:33:15+00:00,13639,2496,121,Apache License 2.0
awesome-bigdata,oxnr,"A curated list of awesome big data frameworks, ressources and other awesomeness.",https://github.com/oxnr/awesome-bigdata,,2014-07-04 15:01:03+00:00,2024-10-08 03:03:40+00:00,13175,2549,39,MIT License
predictionio,apache,"PredictionIO, a machine learning server for developers and ML engineers.",https://github.com/apache/predictionio,Scala,2013-01-25 19:42:32+00:00,2024-10-05 15:34:48+00:00,12549,1928,80,Apache License 2.0
CMAK,yahoo,CMAK is a tool for managing Apache Kafka clusters,https://github.com/yahoo/CMAK,Scala,2015-01-28 18:33:21+00:00,2024-10-07 17:08:59+00:00,11813,2504,521,Apache License 2.0
nebula,vesoft-inc,"  A distributed, fast open-source graph database featuring horizontal scalability and high availability",https://github.com/vesoft-inc/nebula,C++,2018-08-28 14:25:09+00:00,2024-10-08 09:48:17+00:00,10693,1197,558,Apache License 2.0
trino,trinodb,"Official repository of Trino, the distributed SQL query engine for big data, formerly known as PrestoSQL (https://trino.io)",https://github.com/trinodb/trino,Java,2019-01-19 06:38:14+00:00,2024-10-08 09:46:38+00:00,10281,2959,2398,Apache License 2.0
God-Of-BigData,wangzhiwubigdata,专注大数据学习面试，大数据成神之路开启。Flink/Spark/Hadoop/Hbase/Hive...,https://github.com/wangzhiwubigdata/God-Of-BigData,,2019-02-14 09:01:21+00:00,2024-10-08 10:50:16+00:00,9689,3138,3,No license
kafka-ui,provectus,Open-Source Web UI for Apache Kafka Management,https://github.com/provectus/kafka-ui,Java,2019-11-26 15:55:55+00:00,2024-10-08 07:59:06+00:00,9600,1171,406,Apache License 2.0
cython,cython,The most widely used Python to C compiler,https://github.com/cython/cython,Python,2010-11-21 07:44:20+00:00,2024-10-08 08:06:45+00:00,9424,1481,1332,Apache License 2.0
starrocks,StarRocks,"StarRocks, a Linux Foundation project, is a next-generation sub-second MPP OLAP database for full analytics scenarios, including multi-dimensional analytics, real-time analytics, and ad-hoc queries.  ",https://github.com/StarRocks/starrocks,Java,2021-09-04 02:29:35+00:00,2024-10-08 11:30:55+00:00,8754,1757,1107,Apache License 2.0
vaex,vaexio,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀",https://github.com/vaexio/vaex,Python,2014-09-27 09:44:42+00:00,2024-10-08 08:08:13+00:00,8277,590,533,MIT License
catboost,catboost,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computation on CPU and GPU.",https://github.com/catboost/catboost,Python,2017-07-18 05:29:04+00:00,2024-10-08 07:33:13+00:00,8035,1178,559,Apache License 2.0
quickwit,quickwit-oss,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",https://github.com/quickwit-oss/quickwit,Rust,2021-04-13 22:45:40+00:00,2024-10-08 11:00:10+00:00,8021,327,670,Other
beam,apache,Apache Beam is a unified programming model for Batch and Streaming data processing.,https://github.com/apache/beam,Java,2016-02-02 08:00:06+00:00,2024-10-08 09:45:20+00:00,7813,4233,4476,Apache License 2.0
delta,delta-io,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",https://github.com/delta-io/delta,Scala,2019-04-22 18:56:51+00:00,2024-10-07 22:46:10+00:00,7497,1684,809,Apache License 2.0
risingwave,risingwavelabs,"Best-in-class stream processing, analytics, and management. Perform continuous analytics, or build event-driven applications, real-time ETL pipelines, and feature stores in minutes. Unified streaming and batch. PostgreSQL compatible.",https://github.com/risingwavelabs/risingwave,Rust,2022-01-28 12:58:03+00:00,2024-10-08 11:19:52+00:00,6883,570,1087,Apache License 2.0
h2o-3,h2oai,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM) & XGBoost, Random Forest, Generalized Linear Modeling (GLM with Elastic Net), K-Means, PCA, Generalized Additive Models (GAM), RuleFit, Support Vector Machine (SVM), Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",https://github.com/h2oai/h2o-3,Jupyter Notebook,2014-03-03 16:08:07+00:00,2024-10-07 03:29:25+00:00,6881,1992,2843,Apache License 2.0
zeppelin,apache,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala and more.",https://github.com/apache/zeppelin,Java,2015-03-25 07:00:06+00:00,2024-10-07 14:18:37+00:00,6388,2808,174,Apache License 2.0
arkime,arkime,"Arkime is an open source, large scale, full packet capturing, indexing, and database system.",https://github.com/arkime/arkime,JavaScript,2012-07-06 16:10:55+00:00,2024-10-08 08:51:42+00:00,6295,1040,60,Apache License 2.0
couchdb,apache,"Seamless multi-master syncing database with an intuitive HTTP/JSON API, designed for reliability",https://github.com/apache/couchdb,Erlang,2009-05-21 02:03:38+00:00,2024-10-07 13:57:54+00:00,6201,1032,322,Apache License 2.0
